정규화 방식,가중치 (alpha),순위,점수,내용,국가유산명_국문,시대,소재지상세
min_max,0.9,3,0.9071328740640605,국가유산명_국문: 대목장 국가유산명_한자: 大木匠 국가유산종목: 시도무형유산 시도명: 강원,대목장,NaN,강원특별자치도 평창군

z_score,0.1,1,4.517118166491426,국가유산명_국문: 서울 숭례문 국가유산명_한자: 서울 崇禮門 국가유산종목: 국보 시도명: ,서울 숭례문,조선 태조 7년(1398),서울 중구 세종대로 40 (남대문로4가)
z_score,0.1,2,4.089459962955687,국가유산명_국문: 서울 원각사지 십층석탑 국가유산명_한자: 서울 圓覺寺址 十層石塔 국가유산,서울 원각사지 십층석탑,조선시대 초기 15세기,서울 종로구 종로 99 (종로2가) / (지번)서울 종로구 종로2가 38-2번지 탑골공원
z_score,0.1,3,3.68897273460915,국가유산명_국문: 서울 북한산 신라 진흥왕 순수비 국가유산명_한자: 서울 北漢山 新羅 眞興,서울 북한산 신라 진흥왕 순수비,신라 진흥왕대,"서울 용산구 서빙고로 137, 국립중앙박물관 (용산동6가)"

z_score,0.2,1,4.614988228887393,국가유산명_국문: 서울 숭례문 국가유산명_한자: 서울 崇禮門 국가유산종목: 국보 시도명: ,서울 숭례문,조선 태조 7년(1398),서울 중구 세종대로 40 (남대문로4가)
z_score,0.2,2,3.9393648054432346,국가유산명_국문: 서울 원각사지 십층석탑 국가유산명_한자: 서울 圓覺寺址 十層石塔 국가유산,서울 원각사지 십층석탑,조선시대 초기 15세기,서울 종로구 종로 99 (종로2가) / (지번)서울 종로구 종로2가 38-2번지 탑골공원
z_score,0.2,3,3.6459287094648367,국가유산명_국문: 안동 봉정사 극락전 국가유산명_한자: 安東 鳳停寺 極樂殿 국가유산종목: ,안동 봉정사 극락전,고려시대 후기,"경북 안동시 서후면 봉정사길 222, 봉정사 (태장리)"

z_score,0.3,1,4.712857814446201,국가유산명_국문: 서울 숭례문 국가유산명_한자: 서울 崇禮門 국가유산종목: 국보 시도명: ,서울 숭례문,조선 태조 7년(1398),서울 중구 세종대로 40 (남대문로4가)
z_score,0.3,2,3.888185275729848,국가유산명_국문: 안동 봉정사 극락전 국가유산명_한자: 安東 鳳停寺 極樂殿 국가유산종목: ,안동 봉정사 극락전,고려시대 후기,"경북 안동시 서후면 봉정사길 222, 봉정사 (태장리)"
z_score,0.3,3,3.7892696479307824,국가유산명_국문: 서울 원각사지 십층석탑 국가유산명_한자: 서울 圓覺寺址 十層石塔 국가유산,서울 원각사지 십층석탑,조선시대 초기 15세기,서울 종로구 종로 99 (종로2가) / (지번)서울 종로구 종로2가 38-2번지 탑골공원

z_score,0.4,1,4.810727876842168,국가유산명_국문: 서울 숭례문 국가유산명_한자: 서울 崇禮門 국가유산종목: 국보 시도명: ,서울 숭례문,조선 태조 7년(1398),서울 중구 세종대로 40 (남대문로4가)
z_score,0.4,2,4.1304419612041485,국가유산명_국문: 안동 봉정사 극락전 국가유산명_한자: 安東 鳳停寺 極樂殿 국가유산종목: ,안동 봉정사 극락전,고려시대 후기,"경북 안동시 서후면 봉정사길 222, 봉정사 (태장리)"
z_score,0.4,3,3.9884209722070945,국가유산명_국문: 예산 수덕사 대웅전 국가유산명_한자: 禮山 修德寺 大雄殿 국가유산종목: ,예산 수덕사 대웅전,고려 충렬왕 34년(1308),"충청남도 예산군 수덕사안길 79 (덕산면, 수덕사)"

z_score,0.5,1,4.9085974624009765,국가유산명_국문: 서울 숭례문 국가유산명_한자: 서울 崇禮門 국가유산종목: 국보 시도명: ,서울 숭례문,조선 태조 7년(1398),서울 중구 세종대로 40 (남대문로4가)
z_score,0.5,2,4.37269852746916,국가유산명_국문: 안동 봉정사 극락전 국가유산명_한자: 安東 鳳停寺 極樂殿 국가유산종목: ,안동 봉정사 극락전,고려시대 후기,"경북 안동시 서후면 봉정사길 222, 봉정사 (태장리)"
z_score,0.5,3,4.289582710686954,국가유산명_국문: 예산 수덕사 대웅전 국가유산명_한자: 禮山 修德寺 大雄殿 국가유산종목: ,예산 수덕사 대웅전,고려 충렬왕 34년(1308),"충청남도 예산군 수덕사안길 79 (덕산면, 수덕사)"

z_score,0.6,1,5.0064672863783635,국가유산명_국문: 서울 숭례문 국가유산명_한자: 서울 崇禮門 국가유산종목: 국보 시도명: ,서울 숭례문,조선 태조 7년(1398),서울 중구 세종대로 40 (남대문로4가)
z_score,0.6,2,4.616880935060317,국가유산명_국문: 나전 화문 동경 국가유산명_한자: 螺鈿 花文 銅鏡 국가유산종목: 국보 시,나전 화문 동경,미상,"서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)"
z_score,0.6,3,4.61495521294346,국가유산명_국문: 안동 봉정사 극락전 국가유산명_한자: 安東 鳳停寺 極樂殿 국가유산종목: ,안동 봉정사 극락전,고려시대 후기,"경북 안동시 서후면 봉정사길 222, 봉정사 (태장리)"

z_score,0.7,1,5.10433711035575,국가유산명_국문: 서울 숭례문 국가유산명_한자: 서울 崇禮門 국가유산종목: 국보 시도명: ,서울 숭례문,조선 태조 7년(1398),서울 중구 세종대로 40 (남대문로4가)
z_score,0.7,2,4.984422702158714,국가유산명_국문: 나전 화문 동경 국가유산명_한자: 螺鈿 花文 銅鏡 국가유산종목: 국보 시,나전 화문 동경,미상,"서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)"
z_score,0.7,3,4.891906247251316,국가유산명_국문: 예산 수덕사 대웅전 국가유산명_한자: 禮山 修德寺 大雄殿 국가유산종목: ,예산 수덕사 대웅전,고려 충렬왕 34년(1308),"충청남도 예산군 수덕사안길 79 (덕산면, 수덕사)"

z_score,0.8,1,5.351964379850144,국가유산명_국문: 나전 화문 동경 국가유산명_한자: 螺鈿 花文 銅鏡 국가유산종목: 국보 시,나전 화문 동경,미상,"서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)"
z_score,0.8,2,5.3091829726498885,국가유산명_국문: 봉은사 판전 국가유산명_한자: 奉恩寺 板殿 국가유산종목: 시도유형문화유산,봉은사 판전,NaN,"서울특별시 강남구 봉은사로 531 (삼성동, 봉은사)"
z_score,0.8,3,5.20220681512385,국가유산명_국문: 서울 숭례문 국가유산명_한자: 서울 崇禮門 국가유산종목: 국보 시도명: ,서울 숭례문,조선 태조 7년(1398),서울 중구 세종대로 40 (남대문로4가)

z_score,0.9,1,5.978229778821754,국가유산명_국문: 봉은사 판전 국가유산명_한자: 奉恩寺 板殿 국가유산종목: 시도유형문화유산,봉은사 판전,NaN,"서울특별시 강남구 봉은사로 531 (삼성동, 봉은사)"
z_score,0.9,2,5.726233931217575,국가유산명_국문: 단청장 국가유산명_한자: 丹靑匠 국가유산종목: 시도무형유산 시도명: 대구,단청장,NaN,대구광역시 중구
z_score,0.9,3,5.719506102245056,국가유산명_국문: 나전 화문 동경 국가유산명_한자: 螺鈿 花文 銅鏡 국가유산종목: 국보 시,나전 화문 동경,미상,"서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)"

max,0.1,1,0.9826616760805702,국가유산명_국문: 서울 숭례문 국가유산명_한자: 서울 崇禮門 국가유산종목: 국보 시도명: ,서울 숭례문,조선 태조 7년(1398),서울 중구 세종대로 40 (남대문로4가)
max,0.1,2,0.928220669801102,국가유산명_국문: 서울 원각사지 십층석탑 국가유산명_한자: 서울 圓覺寺址 十層石塔 국가유산,서울 원각사지 십층석탑,조선시대 초기 15세기,서울 종로구 종로 99 (종로2가) / (지번)서울 종로구 종로2가 38-2번지 탑골공원
max,0.1,3,0.8747898936271667,국가유산명_국문: 서울 북한산 신라 진흥왕 순수비 국가유산명_한자: 서울 北漢山 新羅 眞興,서울 북한산 신라 진흥왕 순수비,신라 진흥왕대,"서울 용산구 서빙고로 137, 국립중앙박물관 (용산동6가)"

max,0.2,1,0.9653234117657853,국가유산명_국문: 서울 숭례문 국가유산명_한자: 서울 崇禮門 국가유산종목: 국보 시도명: ,서울 숭례문,조선 태조 7년(1398),서울 중구 세종대로 40 (남대문로4가)
max,0.2,2,0.8759240714213566,국가유산명_국문: 서울 원각사지 십층석탑 국가유산명_한자: 서울 圓覺寺址 十層石塔 국가유산,서울 원각사지 십층석탑,조선시대 초기 15세기,서울 종로구 종로 99 (종로2가) / (지번)서울 종로구 종로2가 38-2번지 탑골공원
max,0.2,3,0.8613851463386499,국가유산명_국문: 안동 봉정사 극락전 국가유산명_한자: 安東 鳳停寺 極樂殿 국가유산종목: ,안동 봉정사 극락전,고려시대 후기,"경북 안동시 서후면 봉정사길 222, 봉정사 (태장리)"

max,0.3,1,0.9479850878463556,국가유산명_국문: 서울 숭례문 국가유산명_한자: 서울 崇禮門 국가유산종목: 국보 시도명: ,서울 숭례문,조선 태조 7년(1398),서울 중구 세종대로 40 (남대문로4가)
max,0.3,2,0.8602664166076606,국가유산명_국문: 안동 봉정사 극락전 국가유산명_한자: 安東 鳳停寺 極樂殿 국가유산종목: ,안동 봉정사 극락전,고려시대 후기,"경북 안동시 서후면 봉정사길 222, 봉정사 (태장리)"
max,0.3,3,0.840406930410825,국가유산명_국문: 예산 수덕사 대웅전 국가유산명_한자: 禮山 修德寺 大雄殿 국가유산종목: ,예산 수덕사 대웅전,고려 충렬왕 34년(1308),"충청남도 예산군 수덕사안길 79 (덕산면, 수덕사)"

max,0.4,1,0.9306468235315706,국가유산명_국문: 서울 숭례문 국가유산명_한자: 서울 崇禮門 국가유산종목: 국보 시도명: ,서울 숭례문,조선 태조 7년(1398),서울 중구 세종대로 40 (남대문로4가)
max,0.4,2,0.8591476868766713,국가유산명_국문: 안동 봉정사 극락전 국가유산명_한자: 安東 鳳停寺 極樂殿 국가유산종목: ,안동 봉정사 극락전,고려시대 후기,"경북 안동시 서후면 봉정사길 222, 봉정사 (태장리)"
max,0.4,3,0.8463166137059037,국가유산명_국문: 예산 수덕사 대웅전 국가유산명_한자: 禮山 修德寺 大雄殿 국가유산종목: ,예산 수덕사 대웅전,고려 충렬왕 34년(1308),"충청남도 예산군 수덕사안길 79 (덕산면, 수덕사)"

max,0.5,1,0.9133084996121408,국가유산명_국문: 서울 숭례문 국가유산명_한자: 서울 崇禮門 국가유산종목: 국보 시도명: ,서울 숭례문,조선 태조 7년(1398),서울 중구 세종대로 40 (남대문로4가)
max,0.5,2,0.8580288975410372,국가유산명_국문: 안동 봉정사 극락전 국가유산명_한자: 安東 鳳停寺 極樂殿 국가유산종목: ,안동 봉정사 극락전,고려시대 후기,"경북 안동시 서후면 봉정사길 222, 봉정사 (태장리)"
max,0.5,3,0.852290114186776,국가유산명_국문: 나전 화문 동경 국가유산명_한자: 螺鈿 花文 銅鏡 국가유산종목: 국보 시,나전 화문 동경,미상,"서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)"

max,0.6,1,0.8959702054950335,국가유산명_국문: 서울 숭례문 국가유산명_한자: 서울 崇禮門 국가유산종목: 국보 시도명: ,서울 숭례문,조선 태조 7년(1398),서울 중구 세종대로 40 (남대문로4가)
max,0.6,2,0.8662823026449351,국가유산명_국문: 나전 화문 동경 국가유산명_한자: 螺鈿 花文 銅鏡 국가유산종목: 국보 시,나전 화문 동경,미상,"서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)"
max,0.6,3,0.8581359802960611,국가유산명_국문: 예산 수덕사 대웅전 국가유산명_한자: 禮山 修德寺 大雄殿 국가유산종목: ,예산 수덕사 대웅전,고려 충렬왕 34년(1308),"충청남도 예산군 수덕사안길 79 (덕산면, 수덕사)"

max,0.7,1,0.8802744911030942,국가유산명_국문: 나전 화문 동경 국가유산명_한자: 螺鈿 花文 銅鏡 국가유산종목: 국보 시,나전 화문 동경,미상,"서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)"
max,0.7,2,0.8786319113779261,국가유산명_국문: 서울 숭례문 국가유산명_한자: 서울 崇禮門 국가유산종목: 국보 시도명: ,서울 숭례문,조선 태조 7년(1398),서울 중구 세종대로 40 (남대문로4가)
max,0.7,3,0.864045678492301,국가유산명_국문: 예산 수덕사 대웅전 국가유산명_한자: 禮山 修德寺 大雄殿 국가유산종목: ,예산 수덕사 대웅전,고려 충렬왕 34년(1308),"충청남도 예산군 수덕사안길 79 (덕산면, 수덕사)"

max,0.8,1,0.9032342836260796,국가유산명_국문: 봉은사 판전 국가유산명_한자: 奉恩寺 板殿 국가유산종목: 시도유형문화유산,봉은사 판전,NaN,"서울특별시 강남구 봉은사로 531 (삼성동, 봉은사)"
max,0.8,2,0.8942666646600921,국가유산명_국문: 나전 화문 동경 국가유산명_한자: 螺鈿 花文 銅鏡 국가유산종목: 국보 시,나전 화문 동경,미상,"서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)"
max,0.8,3,0.8706581785875356,국가유산명_국문: 단청장 국가유산명_한자: 丹靑匠 국가유산종목: 시도무형유산 시도명: 대구,단청장,NaN,대구광역시 중구

max,0.9,1,0.9516171418130398,국가유산명_국문: 봉은사 판전 국가유산명_한자: 奉恩寺 板殿 국가유산종목: 시도유형문화유산,봉은사 판전,NaN,"서울특별시 강남구 봉은사로 531 (삼성동, 봉은사)"
max,0.9,2,0.9171287420687596,국가유산명_국문: 단청장 국가유산명_한자: 丹靑匠 국가유산종목: 시도무형유산 시도명: 대구,단청장,NaN,대구광역시 중구
max,0.9,3,0.9155025545581306,국가유산명_국문: 대목장 국가유산명_한자: 大木匠 국가유산종목: 시도무형유산 시도명: 강원,대목장,NaN,강원특별자치도 평창군
